"Season","Handedness","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"2014","vs L as L","6","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0",".000"
"2014","vs R as L","20","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","2","1",".000"
"2014","vs L as R","75","149","176","41","22","10","0","9","24","20","26","1","47","1","0","0","2","2","0",".275"
"2014","vs R as R","149","453","529","132","67","29","9","27","68","91","57","5","137","9","10","0","4","12","1",".291"
"2014","vs L","75","149","176","41","22","10","0","9","30","20","26","1","47","1","0","0","2","2","0",".275"
"2014","vs R","149","453","529","132","67","29","9","27","85","91","57","5","137","9","10","0","4","14","2",".291"
"2014","Home","79","294","349","83","39","20","5","19","61","55","44","5","81","5","6","0","3","6","0",".282"
"2014","Away","78","308","356","90","50","19","4","17","54","56","39","1","103","5","4","0","3","10","2",".292"
"2014","Home vs L","38","77","96","20","10","6","0","4","19","11","18","1","20","1","0","0","0","0","0",".260"
"2014","Home vs R","74","217","253","63","29","14","5","15","42","44","26","4","61","4","6","0","3","6","0",".290"
"2014","Away vs L","37","72","80","21","12","4","0","5","11","9","8","0","27","0","0","0","2","2","0",".292"
"2014","Away vs R","75","236","276","69","38","15","4","12","43","47","31","1","76","5","4","0","1","8","2",".292"
"2014","Mar/Apr","27","109","124","35","19","8","2","6","21","18","14","1","34","1","0","0","1","4","0",".321"
"2014","May","26","95","118","25","15","3","2","5","13","20","16","0","29","1","6","0","2","1","0",".263"
"2014","Jun","23","83","102","30","12","10","1","7","20","21","18","0","17","0","1","0","0","5","0",".361"
"2014","Jul","27","113","126","30","15","9","0","6","20","17","10","0","35","3","0","0","1","0","0",".265"
"2014","Aug","29","118","132","30","17","5","1","7","18","21","11","1","36","1","2","0","2","3","2",".254"
"2014","Sept/Oct","25","84","103","23","11","4","3","5","23","14","14","4","33","4","1","0","0","3","0",".274"
"2014","1st Half","90","345","408","107","54","26","5","22","65","73","53","1","95","3","7","0","4","10","0",".310"
"2014","2nd Half","67","257","297","66","35","13","4","14","50","38","30","5","89","7","3","0","2","6","2",".257"
"2014","Grounders","92","145","145","51","44","7","0","0","0","9","0","0","0","0","0","0","6","0","0",".352"
"2014","Flies","120","194","202","64","7","15","7","35","35","81","0","0","0","0","8","0","0","0","0",".330"
"2014","Liners","64","79","81","58","38","17","2","1","1","19","0","0","0","0","2","0","0","0","0",".734"
"2014","as R to Left","104","156","158","77","43","22","2","10","10","38","0","0","0","0","2","0","3","0","0",".494"
"2014","as R to Center","100","148","152","70","32","11","4","23","23","52","0","0","0","0","4","0","3","0","0",".473"
"2014","as R to Right","80","114","118","26","14","6","3","3","3","19","0","0","0","0","4","0","0","0","0",".228"
"2014","Pull","104","156","158","77","43","22","2","10","10","38","0","0","0","0","2","0","3","0","0",".494"
"2014","Center","100","148","152","70","32","11","4","23","23","52","0","0","0","0","4","0","3","0","0",".473"
"2014","Opposite","80","114","118","26","14","6","3","3","3","19","0","0","0","0","4","0","0","0","0",".228"
"2014","Low Leverage","147","345","393","95","59","12","6","18","40","35","41","2","112","5","2","0","2","3","1",".275"
"2014","Medium Leverage","139","203","243","59","20","24","3","12","50","50","30","2","56","3","7","0","3","11","1",".291"
"2014","High Leverage","67","54","69","19","10","3","0","6","25","26","12","2","16","2","1","0","1","2","0",".352"
"2014","Through 3 - 0","41","16","46","6","3","3","0","0","0","3","29","6","5","0","1","0","0","0","0",".375"
"2014","Through 3 - 1","78","50","93","14","6","4","2","2","2","5","42","0","16","0","1","0","0","0","0",".280"
"2014","Through 3 - 2","105","100","142","29","11","7","6","5","5","17","41","0","48","0","1","0","0","0","0",".290"
"2014","Through 2 - 0","79","65","103","25","15","8","0","2","2","14","35","6","19","2","1","0","0","0","0",".385"
"2014","Through 1 - 0","137","247","308","77","37","22","2","16","16","51","54","6","65","3","4","0","3","0","0",".312"
"2014","Through 2 - 1","114","140","181","49","22","15","4","8","8","26","37","0","42","4","0","0","0","0","0",".350"
"2014","Through 1 - 1","148","308","360","84","38","21","7","18","18","55","43","0","98","5","4","0","1","0","0",".273"
"2014","Through 0 - 1","148","332","370","89","46","16","7","20","20","56","29","0","119","6","3","0","3","0","0",".268"
"2014","Through 2 - 2","127","196","227","51","25","13","4","9","9","37","26","0","90","2","3","0","0","0","0",".260"
"2014","Through 1 - 2","136","228","249","48","24","12","4","8","8","35","17","0","114","1","3","0","0","0","0",".211"
"2014","Through 0 - 2","97","125","131","27","13","6","2","6","6","17","5","0","67","0","1","0","0","0","0",".216"
"2014","Bases Empty","154","360","408","99","55","15","5","24","24","24","45","0","108","3","0","0","0","0","0",".275"
